ID,Issue Type,Summary,Description,Parent ID,Assignee,Priority,Status,Sprint,Estimate,Dependencies,Class
DOC-10.3.5,Task,Presentacion de la entrega (Review Sprint 3),Preparar y presentar la entrega ante el profesor.,EP-10,Sara Albarracin (SM),High,To Do,Sprint 3,2,DOC-10.3.2;DOC-10.3.4,Gestion / Proceso
DOC-10.3.6,Task,SRS V4,Actualizar SRS con avances de Sprint 3.,EP-10,Nicolas Leon (PO),High,To Do,Sprint 3,3,DOC-10.2.6,Gestion / Proceso
DOC-10.3.7,Task,Backlog V4,Actualizar Product Backlog tras Planning Sprint 4.,EP-10,Nicolas Leon (PO),High,To Do,Sprint 3,3,DOC-10.2.7,Gestion / Proceso
DOC-10.3.8,Task,SAD V3 (actualizacion),Actualizar SAD con avances de Sprint 3.,EP-10,Juan Sebastian Alvarez (Alviz),High,To Do,Sprint 3,5,DOC-10.2.8,Tecnica / Arquitectura
DOC-10.3.9,Task,DD V3 (actualizacion),Actualizar DD con avances de Sprint 3.,EP-10,Juan Sebastian Alvarez (Alviz),High,To Do,Sprint 3,5,DOC-10.2.9,Tecnica / Arquitectura
DOC-10.3.10,Task,Documento de Infraestructura V2,Actualizar documento de infraestructura con el despliegue real a QA.,EP-10,Daniel Avila (DevOps),High,To Do,Sprint 3,5,DOC-10.2.10;DOC-10.3.1,Tecnica / Arquitectura
DOC-10.3.11,Task,Documento de Diseno SDD V2,Actualizar SDD con avances de Sprint 3.,EP-10,Juan Sebastian Alvarez (Alviz),High,To Do,Sprint 3,5,DOC-10.2.11,Tecnica / Arquitectura
DOC-10.3.12,Task,Documento de Pruebas TD V1,Primera version del documento de estrategia y resultados de pruebas.,EP-10,Santiago (QA),High,To Do,Sprint 3,5,DOC-10.3.2,Calidad / Pruebas
DOC-10.4.1,Task,Despliegue de componentes en QA (Sprint 4),Desplegar el incremento de Sprint 4 en el ambiente de Testing/QA.,EP-10,Daniel Avila (DevOps),Highest,To Do,Sprint 4,5,DOC-10.3.1,Configuracion
DOC-10.4.2,Task,Informe de pruebas (Sprint 4),Consolidar resultados de pruebas del incremento de Sprint 4.,EP-10,Santiago (QA),High,To Do,Sprint 4,5,DOC-10.4.1,Calidad / Pruebas
DOC-10.4.3,Task,Actualizacion de documento y arquitectura (Sprint 4),Actualizar documentacion de arquitectura con cambios reales del incremento.,EP-10,Juan Sebastian Alvarez (Alviz),High,To Do,Sprint 4,3,DOC-10.4.1,Tecnica / Arquitectura
DOC-10.4.4,Task,Demo del incremento de valor (Sprint 4),Preparar demo del incremento funcional entregado en Sprint 4.,EP-10,Sara Albarracin (SM),High,To Do,Sprint 4,2,DOC-10.4.1,Gestion / Proceso
DOC-10.4.5,Task,Presentacion de la entrega (Review Sprint 4),Preparar y presentar la entrega ante el profesor.,EP-10,Sara Albarracin (SM),High,To Do,Sprint 4,2,DOC-10.4.2;DOC-10.4.4,Gestion / Proceso
DOC-10.4.6,Task,SRS V5,Actualizar SRS con avances de Sprint 4.,EP-10,Nicolas Leon (PO),High,To Do,Sprint 4,3,DOC-10.3.6,Gestion / Proceso
DOC-10.4.7,Task,Backlog V5,Actualizar Product Backlog tras Planning Sprint 5.,EP-10,Nicolas Leon (PO),High,To Do,Sprint 4,3,DOC-10.3.7,Gestion / Proceso
DOC-10.4.8,Task,SAD V4 (actualizacion),Actualizar SAD con avances de Sprint 4.,EP-10,Juan Sebastian Alvarez (Alviz),High,To Do,Sprint 4,5,DOC-10.3.8,Tecnica / Arquitectura
DOC-10.4.9,Task,DD V4 (actualizacion),Actualizar DD con avances de Sprint 4.,EP-10,Juan Sebastian Alvarez (Alviz),High,To Do,Sprint 4,5,DOC-10.3.9,Tecnica / Arquitectura
DOC-10.4.10,Task,Documento de Infraestructura V3,Actualizar documento de infraestructura con Sprint 4.,EP-10,Daniel Avila (DevOps),High,To Do,Sprint 4,5,DOC-10.3.10,Tecnica / Arquitectura
DOC-10.4.11,Task,Documento de Diseno SDD V3,Actualizar SDD con avances de Sprint 4.,EP-10,Juan Sebastian Alvarez (Alviz),High,To Do,Sprint 4,5,DOC-10.3.11,Tecnica / Arquitectura
DOC-10.4.12,Task,Documento de Pruebas TD V2,Actualizar documento de pruebas con Sprint 4.,EP-10,Santiago (QA),High,To Do,Sprint 4,5,DOC-10.3.12,Calidad / Pruebas
DOC-10.5.1,Task,Despliegue de componentes en QA (Sprint 5),Desplegar el incremento final en el ambiente de Testing/QA antes del lanzamiento.,EP-10,Daniel Avila (DevOps),Highest,To Do,Sprint 5,5,DOC-10.4.1,Configuracion
DOC-10.5.2,Task,Informe de pruebas (Sprint 5),Consolidar resultados de pruebas del incremento final.,EP-10,Santiago (QA),High,To Do,Sprint 5,5,DOC-10.5.1,Calidad / Pruebas
DOC-10.5.3,Task,Actualizacion de documento y arquitectura (Sprint 5),Actualizar documentacion de arquitectura con el estado final del incremento.,EP-10,Juan Sebastian Alvarez (Alviz),High,To Do,Sprint 5,3,DOC-10.5.1,Tecnica / Arquitectura
DOC-10.5.4,Task,Demo del incremento de valor (Sprint 5),Preparar demo del incremento final para el lanzamiento.,EP-10,Sara Albarracin (SM),High,To Do,Sprint 5,2,DOC-10.5.1,Gestion / Proceso
DOC-10.5.5,Task,Acta de Cierre (borrador),Redactar el borrador del Acta de Cierre del proyecto.,EP-10,Sara Albarracin (SM),High,To Do,Sprint 5,3,-,Gestion / Proceso
DOC-10.5.6,Task,Presentacion de la entrega (Review Sprint 5 y Lanzamiento),Preparar y presentar la entrega de lanzamiento ante el profesor.,EP-10,Sara Albarracin (SM),High,To Do,Sprint 5,2,DOC-10.5.2;DOC-10.5.4;DOC-10.5.5,Gestion / Proceso
DOC-10.5.7,Task,SAD V5 (version final),Version final del SAD.,EP-10,Juan Sebastian Alvarez (Alviz),High,To Do,Sprint 5,5,DOC-10.4.8,Tecnica / Arquitectura
DOC-10.5.8,Task,DD V5 (version final),Version final del DD.,EP-10,Juan Sebastian Alvarez (Alviz),High,To Do,Sprint 5,5,DOC-10.4.9,Tecnica / Arquitectura
DOC-10.5.9,Task,Documento de Infraestructura V4 (version final),Version final del documento de infraestructura.,EP-10,Daniel Avila (DevOps),High,To Do,Sprint 5,5,DOC-10.4.10,Tecnica / Arquitectura
DOC-10.5.10,Task,Documento de Diseno SDD V4 (version final),Version final del SDD.,EP-10,Juan Sebastian Alvarez (Alviz),High,To Do,Sprint 5,5,DOC-10.4.11,Tecnica / Arquitectura
DOC-10.5.11,Task,Documento de Pruebas TD V3 (version final),Version final del documento de pruebas.,EP-10,Santiago (QA),High,To Do,Sprint 5,5,DOC-10.4.12,Calidad / Pruebas
DOC-10.6.1,Task,Despliegue final de componentes en QA,Ultimo despliegue de verificacion antes del cierre.,EP-10,Daniel Avila (DevOps),Highest,To Do,Cierre,3,DOC-10.5.1,Configuracion
DOC-10.6.2,Task,Informe de pruebas final,Informe de pruebas consolidado de todo el proyecto.,EP-10,Santiago (QA),High,To Do,Cierre,5,DOC-10.5.2,Calidad / Pruebas
DOC-10.6.3,Task,Actualizacion final de documento y arquitectura,Cierre de toda la documentacion de arquitectura.,EP-10,Juan Sebastian Alvarez (Alviz),High,To Do,Cierre,3,DOC-10.5.3,Tecnica / Arquitectura
DOC-10.6.4,Task,Demo final del incremento de valor,Demo final del producto completo (MVP).,EP-10,Sara Albarracin (SM),High,To Do,Cierre,2,DOC-10.6.1,Gestion / Proceso
DOC-10.6.5,Task,Acta de Cierre (version final),Version final del Acta de Cierre del proyecto.,EP-10,Sara Albarracin (SM),High,To Do,Cierre,3,DOC-10.5.5,Gestion / Proceso
DOC-10.6.6,Task,"Informe de proyecto: resultados, lecciones aprendidas y conclusiones",Informe final de cierre del proyecto.,EP-10,Sara Albarracin (SM),High,To Do,Cierre,5,DOC-10.6.5,Gestion / Proceso
DOC-10.6.7,Task,Presentacion de la entrega final,Preparar y presentar la entrega de cierre ante el profesor.,EP-10,Sara Albarracin (SM),High,To Do,Cierre,2,DOC-10.6.4;DOC-10.6.6,Gestion / Proceso
DOC-10.6.8,Task,Version final de todos los documentos y productos,Consolidar version final de todos los documentos y del producto.,EP-10,Nicolas Leon (PO),High,To Do,Cierre,3,DOC-10.6.6,Gestion / Proceso
